Item No (Excel),Item No (PDF),PDF Page,English Name (Excel),English Name (PDF),English Name Match,Part No (Excel),Part No (PDF),Part No Match,Qty (Excel),Qty (PDF),Qty Match,HS Code (Excel),HS Code (PDF),HS Code Match,Overall Status,Details
131,,,HIGH-PRESSURE PIPE – HEAT EXCHANGER END,,MISMATCH,4581012638,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
132,,,LOW-PRESSURE PIPE – HEAT EXCHANGER END,,MISMATCH,4581012637,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
133,,,INTEGRATED SINGLE-COOLING PLATE HEAT EXCHANGER,,MISMATCH,4581012312,,MISMATCH,2,,MISMATCH,853710,,MISMATCH,MISMATCH,Item missing in PDF
134,,,AIR CONDITIONING BLACK BOX,,MISMATCH,4581010835,,MISMATCH,1,,MISMATCH,853710,,MISMATCH,MISMATCH,Item missing in PDF
135,,,ELECTRIC COMPRESSOR ASSEMBLY (40CC),,MISMATCH,458108690/XGA81AMSE111-030100,,MISMATCH,1,,MISMATCH,850110,,MISMATCH,MISMATCH,Item missing in PDF
136,,,GATEWAY CONTROLLER,,MISMATCH,4579003177,,MISMATCH,2,,MISMATCH,853710,,MISMATCH,MISMATCH,Item missing in PDF
137,,,UPPER SKIN,,MISMATCH,4538007094,,MISMATCH,4,,MISMATCH,870829,,MISMATCH,MISMATCH,Item missing in PDF
138,,,UPPER SKIN (LEFT),,MISMATCH,4538007066,,MISMATCH,4,,MISMATCH,870829,,MISMATCH,MISMATCH,Item missing in PDF
139,,,SIDE SKIN (LEFT),,MISMATCH,4538007065,,MISMATCH,4,,MISMATCH,870829,,MISMATCH,MISMATCH,Item missing in PDF
140,,,REAR SKIN (LEFT),,MISMATCH,4538007064,,MISMATCH,2,,MISMATCH,870829,,MISMATCH,MISMATCH,Item missing in PDF
141,,,PURE ELECTRIC INSTRUMENT CLUSTER,,MISMATCH,4538006885,,MISMATCH,2,,MISMATCH,853710,,MISMATCH,MISMATCH,Item missing in PDF
142,,,FRONT SKIN (LEFT),,MISMATCH,4538006244,,MISMATCH,4,,MISMATCH,870829,,MISMATCH,MISMATCH,Item missing in PDF
143,,,AIR HOSE ASSEMBLY - AIR COMPRESSOR TO AIR DRYER III,,MISMATCH,4535027036,,MISMATCH,2,,MISMATCH,854430,,MISMATCH,MISMATCH,Item missing in PDF
144,,,AIR HOSE ASSEMBLY - AIR COMPRESSOR TO AIR DRYER II,,MISMATCH,4535027035,,MISMATCH,2,,MISMATCH,854430,,MISMATCH,MISMATCH,Item missing in PDF
145,,,AIR HOSE ASSEMBLY - AIR COMPRESSOR TO AIR DRYER I,,MISMATCH,4535027034,,MISMATCH,2,,MISMATCH,854430,,MISMATCH,MISMATCH,Item missing in PDF
146,,,MOTOR WATER OUTLET TRANSITION STEEL PIPE,,MISMATCH,4513010116,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
147,,,ELECTRICAL CONTROL WATER OUTLET HOSE,,MISMATCH,4513010115,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
148,,,WATER TEMPERATURE SENSOR INLET HOSE,,MISMATCH,4513009147,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
149,,,CONNECTING HOSE,,MISMATCH,4513009138,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
150,,,CONNECTING HOSE,,MISMATCH,4513009137,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
151,,,BATTERY WATER SUPPLY HOSE,,MISMATCH,4513009133,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
152,,,WATER PUMP INLET HOSE,,MISMATCH,4513009132,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
153,,,BATTERY COOLING CONNECTION STEEL PIPE 2,,MISMATCH,4513009131,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
154,,,BATTERY COOLING CONNECTION STEEL PIPE 1,,MISMATCH,4513009130,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
155,,,REAR BATTERY WATER INLET HOSE,,MISMATCH,4513009128,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
156,,,CHILLER INLET HOSE,,MISMATCH,4513009126,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
157,,,CHILLER OUTLET HOSE,,MISMATCH,4513009125,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
158,,,MOTOR/ELECTRICAL CONTROL WATER PUMP WATER SUPPLY HOSE,,MISMATCH,4513009121,,MISMATCH,3,,MISMATCH,848410,,MISMATCH,MISMATCH,Item missing in PDF
159,,,ELECTRICAL CONTROL WATER INLET HOSE,,MISMATCH,4513009120/XGA13AKLEA61R-030250,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
160,,,RADIATOR - WATER OUTLET PIPE TO WATER PUMP,,MISMATCH,4513009119/XGA13AKLEA61R-030200,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
161,,,MOTOR INLET WATER PIPE,,MISMATCH,4513009117/XGA13AKLEA61R-030340,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
162,,,MOTOR OUTLET WATER PIPE,,MISMATCH,4513009116/XGA13AKLEA61R-030350,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
163,,,MOTOR OUTLET COOLING CONNECTION STEEL PIPE,,MISMATCH,4513009115/XGA13AKLEA61R-030121,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
164,,,MOTOR INLET COOLING CONNECTION STEEL PIPE,,MISMATCH,4513009114/XGA13AKLEA61R-030123,,MISMATCH,3,,MISMATCH,400921,,MISMATCH,MISMATCH,Item missing in PDF
165,,,WATER TEMPERATURE SENSOR - Φ20,,MISMATCH,4513003466/XGA13BKSE111-040500_,,MISMATCH,3,,MISMATCH,853690,,MISMATCH,MISMATCH,Item missing in PDF
166,,,POWER TAKE-OFF SWITCH,,MISMATCH,459501678/37T3-50110,,MISMATCH,5,,MISMATCH,853710,,MISMATCH,MISMATCH,Item missing in PDF
167,,,FRONT FOG LIGHT SWITCH ASSEMBLY,,MISMATCH,459501676/37T3-50030,,MISMATCH,5,,MISMATCH,853710,,MISMATCH,MISMATCH,Item missing in PDF
168,,,HAZARD ALARM SWITCH ASSEMBLY,,MISMATCH,459501675/37T3-50060,,MISMATCH,5,,MISMATCH,853710,,MISMATCH,MISMATCH,Item missing in PDF
169,,,REAR FOG LIGHT SWITCH ASSEMBLY,,MISMATCH,459360422/37T3-50040,,MISMATCH,5,,MISMATCH,853710,,MISMATCH,MISMATCH,Item missing in PDF
170,,,"IGNITION LOCK, WITH LOCK CYLINDER, COMPLETE REMOTE KEY BLADE SET",,MISMATCH,459360415/XGLD373031120,,MISMATCH,1,,MISMATCH,853710,,MISMATCH,MISMATCH,Item missing in PDF
171,,,FRONT WHEEL HUB,,MISMATCH,459360414/L0300060052B0-52,,MISMATCH,3,,MISMATCH,870870,,MISMATCH,MISMATCH,Item missing in PDF
172,,,TAPERED ROLLER BEARING,,MISMATCH,459345403/GB/T297-32311AE,,MISMATCH,5,,MISMATCH,848230,,MISMATCH,MISMATCH,Item missing in PDF
173,,,OIL SEAL ASSEMBLY,,MISMATCH,459339612/3100DEKHD-3004103,,MISMATCH,5,,MISMATCH,401699,,MISMATCH,MISMATCH,Item missing in PDF
174,,,RIGHT DOOR LOCK ASSEMBLY (24V CENTRAL LOCKING),,MISMATCH,459336320/L9502060200-YZ,,MISMATCH,2,,MISMATCH,830220,,MISMATCH,MISMATCH,Item missing in PDF
175,,,LEFT DOOR LOCK ASSEMBLY (24V CENTRAL LOCKING),,MISMATCH,459336319/L9502060100-YZ,,MISMATCH,2,,MISMATCH,830220,,MISMATCH,MISMATCH,Item missing in PDF
176,,,OIL SEAL RING ASSEMBLY,,MISMATCH,459303527/EQ153-3001027,,MISMATCH,5,,MISMATCH,401699,,MISMATCH,MISMATCH,Item missing in PDF
177,,,AIR CONDITIONING CONTROL PANEL,,MISMATCH,458108870/XGA81AKSE221-120100,,MISMATCH,2,,MISMATCH,853720,,MISMATCH,MISMATCH,Item missing in PDF
178,,,CENTER SEAT BELT ASSEMBLY,,MISMATCH,455800487/L9505040030,,MISMATCH,2,,MISMATCH,870821,,MISMATCH,MISMATCH,Item missing in PDF
179,,,ALTERNATER,,MISMATCH,612600090248 / 453705538,,MISMATCH,2,,MISMATCH,851150,,MISMATCH,MISMATCH,Item missing in PDF
